Designator,Mid X,Mid Y,Rotation,Layer
BT1,111.678627,-88.5,45.0,bottom
D1,167.675,-32.625,0.0,bottom
D10,118.9,-46.25,0.0,bottom
D11,167.7,-56.15,90.0,bottom
D12,154.9,-56.7,90.0,bottom
D13,131.675,-92.25,180.0,bottom
D14,154.9,-69.25,90.0,bottom
D15,106.675,-32.15,0.0,bottom
D16,167.675,-68.05,90.0,bottom
D17,167.675,-92.25,90.0,bottom
D18,142.675,-81.25,180.0,bottom
D19,130.9,-69.25,0.0,bottom
D2,155.9,-32.625,0.0,bottom
D20,118.7,-71.15,270.0,bottom
D3,117.9,-58.25,270.0,bottom
D4,129.9,-32.625,0.0,bottom
D5,106.675,-45.25,270.0,bottom
D6,167.625,-44.675,90.0,bottom
D7,155.675,-45.15,0.0,bottom
D8,143.15,-45.175,0.0,bottom
D9,129.9,-44.25,0.0,bottom
J1,93.0,-31.0,0.0,top
R1,161.8,-30.525,90.0,bottom
R10,116.725,-40.15,180.0,bottom
R11,169.775,-50.4,180.0,bottom
R12,160.9,-54.725,270.0,bottom
R13,132.225,-98.35,180.0,bottom
R14,157.075,-63.0,180.0,bottom
R15,106.225,-37.9,0.0,bottom
R16,161.1,-60.175,270.0,bottom
R17,169.725,-86.35,180.0,bottom
R18,148.9,-83.35,270.0,bottom
R19,123.875,-64.3,180.0,bottom
R2,150.0,-30.6,90.0,bottom
R20,117.075,-77.1,0.0,bottom
R3,116.875,-64.3,0.0,bottom
R4,124.0,-31.0,90.0,bottom
R5,104.3,-51.15,0.0,bottom
R6,162.925,-38.8,180.0,bottom
R7,153.725,-38.95,180.0,bottom
R8,142.8,-38.475,270.0,bottom
R9,127.725,-38.75,180.0,bottom
TP1,118.6,-32.95,0.0,top
TP2,106.9,-57.15,0.0,top
TP3,130.7,-81.15,0.0,top
TP4,106.9,-93.55,0.0,top
TP5,156.7,-81.15,0.0,top
TP6,144.7,-92.15,0.0,top
